;iso_code;continent;location;date;total_cases;new_cases;total_deaths;new_deaths;total_cases_per_million;new_cases_per_million;total_deaths_per_million;new_deaths_per_million;new_tests;total_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;tests_per_case;positive_rate;tests_units;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;mes
32;BFA;Africa;Burkina Faso;31/07/2020;1117;0;53;0;53;0;3;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;20903278;70.151;17.6;2.409;1.358;1.703.102;43.7;269.048;2.42;1.6;23.9;11.877;0.4;61.58;7
33;BDI;Africa;Burundi;31/07/2020;387;0;1;0;33;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;11890781;423.062;17.5;2.562;1.504;702.225;71.7;293.068;6.05;NA;NA;6.144;0.8;61.58;7
37;CPV;Africa;Cape Verde;31/07/2020;2373;0;23;0;4268;0;41;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;555988;135.58;25.7;4.46;3.437;6.222.554;NA;182.219;2.42;2.1;16.5;NA;2.1;72.98;7
34;KHM;Asia;Cambodia;31/07/2020;234;0;0;0;14;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;16718971;90.672;25.6;4.412;2.385;3645.07;NA;270.892;4;2;33.7;66.229;0.8;69.82;7
35;CMR;Africa;Cameroon;31/07/2020;17255;0;387;0;650;0;15;0;NA;NA;NA;NA;NA;NA;NA;NA;;60.19;26545864;50.885;18.8;3.165;1.919;3.364.926;23.8;244.661;7.2;NA;NA;2.735;1.3;59.29;7
36;CAN;North America;Canada;31/07/2020;115785;329;8929;12;3068;8.717;237;0.318;53733;4050358;107.317;1.424;50434;1.336;112.936;0.009;people tested;NA;37742157;4.037;41.4;16.984;10.797;44.017.591;0.5;105.599;7.37;12;16.6;NA;2.5;82.43;7
38;CYM;North America;Cayman Islands;31/07/2020;203;0;1;0;3089;0;15;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;65720;256.496;NA;NA;NA;49.903.029;NA;NA;13.22;NA;NA;NA;NA;83.92;7
39;CAF;Africa;Central African Republic;31/07/2020;4605;0;59;0;953;0;12;0;NA;NA;NA;NA;NA;NA;NA;NA;;54.63;4829764;7.479;18.3;3.655;2.251;661.24;NA;435.727;6.1;NA;NA;16.603;1;53.28;7
40;TCD;Africa;Chad;31/07/2020;935;9;75;0;57;0.548;5;0;NA;NA;NA;NA;NA;NA;NA;NA;;NA;16425859;11.833;16.7;2.486;1.446;1.768.153;38.4;280.995;6.1;NA;NA;5.818;NA;54.24;7
41;CHL;South America;Chile;31/07/2020;353536;1961;9377;99;18494;102.583;491;5.179;22874;1623992;84.954;1.197;19754;1.033;9.358;0.107;tests performed;86.57;19116209;24.282;35.4;11.087;6.938;22.767.037;1.3;127.993;8.46;34.2;41.5;NA;2.11;80.18;7
